"Run Date","Company","Website","ICP Fit Score","Tier","Why Surfaced","Product Category","Product Type / Description","Est. Revenue","Employees","HQ City","HQ State","HQ Country","Founded","Total Funding","Last Round","Investors","Manufacturing Model","Current Systems","Rationale","Flags","ZoomInfo Company ID","Website Verified","Company Status"
"2026-06-17 (run 4)","Seattle Gummy","seattlegummy.com","77","Possible","ZoomInfo search: supplements/nootropics (Magic Mind space)","Supplements","Science-first functional gummies (energy, focus, sleep, recovery)","~$6.6M","21","Seattle","WA","USA","2016","None reported (bootstrapped)","","","Likely co-manufactured / own (verify)","Unknown","Modern functional gummy brand (energy/focus) - closest Magic Mind analog. Bootstrapped/profitable; below $10M.","","433726100","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 4)","Mend","mend.me","75","Possible","ZoomInfo search: supplements/nootropics (Magic Mind space)","Supplements","Clinically-proven recovery nutrition (surgery/weight loss) + coaching","~$8.1M","30","New York City","NY","USA","2018","$24.9M","PE $9.9M (Feb 2026); Series A $15M (2023)","S2G Ventures; iSelect; Touchdown; Keen Growth","Co-manufactured (likely)","Unknown","Well-funded (recent 2026 round) recovery-nutrition brand. GTM via hospitals/surgeons - confirm ICP (clinical channel).","Clinical/hospital channel - verify ICP","443453115","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 4)","Biocidin Botanicals","biocidin.com","71","Possible","ZoomInfo search: supplements/nootropics (Magic Mind space)","Supplements","Botanical/microbiome supplements (detox, oral care)","~$7.1M","61","West Palm Beach","FL","USA","1989","None (PPP only)","","","Co-manufactured (likely)","Unknown","Established practitioner-channel botanical supplement brand. Not VC-funded.","Practitioner channel","14814955","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 4)","Longevity By Nature","longevitybynature.biz","66","Possible","ZoomInfo search: supplements/nootropics (Magic Mind space)","Supplements","Healthy-aging / longevity supplements (incl. pet)","~$5.7M","102","Temecula","CA","USA","2000","None (debt only)","","","Co-manufactured (likely)","Unknown","Established longevity supplement brand. Older (2000), debt-only, pet-inclusive - less 'emerging'.","Older; pet-inclusive","415988070","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 4)","Natural Wellness","naturalwellness.com","64","Possible","ZoomInfo search: supplements/nootropics (Magic Mind space)","Supplements","Liver & wellness nutritional supplements","~$7.1M","29","Montgomery","NY","USA","1996","None reported","","","Co-manufactured (likely)","Unknown","Small established wellness supplement brand. Older (1996); limited momentum.","Older / niche","26886722","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 2)","Starday","stardayfoods.com","90","Strong","ZoomInfo search: funded F&B, 20+ employees (Mezcla profile)","Better-for-you snacks","AI-driven snack house; brands incl. Habeya allergen-free crackers & chickpea protein toppers","~$11.9M","44","New York City","NY","USA","2021","$15M","Series A $11M (Apr 2025)","Silicon Valley Bank; Slow; Equal Ventures","Outsourced (collaborates with manufacturers)","Unknown","In-band ICP ($11.9M, 44 emp), outsources production, fresh Series A. Multi-brand house.","Brand house / multiple sub-brands","555385531","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 2)","Cheribundi","cheribundi.com","88","Strong","ZoomInfo search: funded F&B, 20+ employees (Mezcla profile)","Functional beverage","Tart cherry functional juice (recovery/wellness)","~$27.1M","34","Geneva","NY","USA","2004","$33.8M","Series B $15M (Nov 2020)","Emil Capital Partners","Co-packer (likely, beverage)","Unknown","Solidly in-band ($27M), funded functional beverage. Founded 2004 (established).","","358514576","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 2)","Wicked Kitchen","wickedkitchen.com","86","Strong","ZoomInfo search: funded F&B, 20+ employees (Mezcla profile)","Better-for-you food","Chef-driven plant-based prepared foods","~$11.8M","28","Edina","MN","USA","2012","$14M","Series A $14M (Jul 2021)","Unovis; NRF Nove Foods","Co-manufacturer (likely)","Unknown","In-band ICP, chef-led plant-based, VC-backed. Funding round is 2021 (aging).","","369158829","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 2)","Tomorrow Farms","tomorrowfarms.co","85","Strong","ZoomInfo search: funded F&B, 20+ employees (Mezcla profile)","Better-for-you food","Animal-free dairy brand house (Bored Cow)","~$16.0M","38","New York City","NY","USA","2021","$8.5M","Seed $8.5M (May 2022)","Lowercarbon Capital; Maveron; Valor Siren Ventures","Outsourced (brand house)","Unknown","In-band ICP, outsourced brand house model. Seed-stage (2022).","Brand house","565040596","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 2)","Black Sheep Foods","blacksheepfoods.com","83","Strong","ZoomInfo search: funded F&B, 20+ employees (Mezcla profile)","Better-for-you food","Plant-based lamb (foodservice + retail)","~$11.0M","27","San Francisco","CA","USA","2019","$12M","Series A $12M (Dec 2022)","Bessemer Venture Partners; AgFunder; Unovis","Co-manufacturer (likely)","Unknown","In-band ICP, VC-backed plant-based. Foodservice-led GTM.","Foodservice-led","477843743","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 2)","Rebellyous Foods","rebellyous.com","82","Strong","ZoomInfo search: funded F&B, 20+ employees (Mezcla profile)","Better-for-you food","Plant-based chicken nuggets/patties/tenders","~$18.6M","44","Seattle","WA","USA","2017","$15.5M","Growth/PE $9.5M (Feb 2023)","Clear Current Capital; CPT Capital; KBW Ventures","In-house production tech (verify outsourcing)","Unknown","In-band ICP ($18.6M, 44 emp), funded. Builds own production equipment - may be in-house.","Possible in-house manufacturing","471165711","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 2)","Tender Food","tenderfood.com","80","Strong","ZoomInfo search: funded F&B, 20+ employees (Mezcla profile)","Better-for-you food","Alt-meat (whole-cut plant-based) foodtech","~$14.8M","35","Somerville","MA","USA","2020","$34.8M","Series A $11M (2024); round 2025","Lowercarbon Capital; Rhapsody; Safar Partners; Natalie Portman","In-house / pilot production (foodtech)","Unknown","In-band ICP, recently funded foodtech. Scaling own production - manufacturing fit to verify.","Foodtech; possible in-house mfg","564148014","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 2)","True Essence Foods","trueessencefoods.com","76","Possible","ZoomInfo search: funded F&B, 20+ employees (Mezcla profile)","Better-for-you food","Fermentation foodtech / flavor solutions","~$14.3M","34","Indianapolis","IN","USA","2020","$27.6M","Series B $27.6M (Aug 2023)","AFM Capital Partners","In-house (fermentation foodtech)","Unknown","In-band ICP, well-funded. But B2B fermentation/ingredient-leaning - confirm CPG fit.","B2B/ingredient-leaning","566158793","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17 (run 2)","Nature's Fynd","naturesfynd.com","75","Possible","ZoomInfo search: funded F&B, 20+ employees (Mezcla profile)","Better-for-you food","Fungi-protein foods (Fy protein); patties, cream cheese, bites","~$38.0M","90","Chicago","IL","USA","2012","$467.5M","Series C $350M (Jul 2021)","SoftBank Vision Fund; Generation IM; Breakthrough Energy","In-house plant (Chicago)","Unknown","In-band revenue but very heavily funded ($467M) + runs own plant - may already have enterprise systems; manufacturing in-house.","Heavily funded; in-house mfg - verify ICP fit","481423635","Yes (ZoomInfo ALIVE + brand-match)","ALIVE"
"2026-06-17","Droplet","drinkdroplet.com","90","Strong","ZoomInfo lookalike of De Soi (adaptogen sparkling)","Functional beverage","Sparkling adaptogen drinks (ashwagandha, reishi); non-alc soda alternative","~$3.0M","9","Los Angeles","CA","USA","2019","None reported","","","Co-packer (likely)","Unknown","Near-identical to De Soi: adaptogenic sparkling, female-founded, LA. Below $10M floor, early-stage.","","478812579","Yes — 2026-06-17","ALIVE (2026-05-01)"
"2026-06-17","New Brew","drinknewbrew.com","89","Strong","Lookalike of De Soi (functional tonic)","Functional beverage","Non-alc social tonics from kava and ancient plants","~$2.8M","14","Los Angeles","CA","USA","2022","None reported","","","Co-packer (likely)","Unknown","Young (2022) functional non-alc brand scaling DTC + retail. Below ICP revenue floor; early-stage.","","1327255859","Yes — 2026-06-17","ALIVE (2026-06-02)"
"2026-06-17","Figlia","drinkfiglia.com","88","Strong","Lookalike of De Soi (non-alc aperitivo)","Functional beverage","Non-alc botanical aperitivo","~$3.7M","6","","","USA","2020","None reported","","","Co-packer (likely)","Unknown","Direct De Soi analog: non-alc aperitivo, founder-led. Small team (6); below $10M floor.","","557086932","Yes — 2026-06-17","ALIVE (2026-05-05)"
"2026-06-17","Casamara Club","casamaraclub.com","87","Strong","Lookalike of De Soi (botanical soda)","Functional beverage","Non-alc botanical leisure sodas / mixers","~$1.1M","4","Detroit","MI","USA","2017","None reported","","","Co-packer (likely)","Unknown","Strong on-menu/hospitality traction; non-alc botanical. Early-stage, under $10M.","","454745049","Yes — 2026-06-17","ALIVE (2026-05-05)"
"2026-06-17","Optimist Drinks","optimistdrinks.com","86","Strong","Lookalike of De Soi (non-alc spirits)","Functional beverage","Distilled non-alc botanical spirits","~$1.4M","5","Los Angeles","CA","USA","2020","None reported","","","Co-packer (likely)","Unknown","Non-alc spirits for cocktails; LA, founder-led. Small/early; below floor.","","527421632","Yes — 2026-06-17","ALIVE (2026-03-28)"
"2026-06-17","Rock Grace","rockgrace.com","85","Strong","Lookalike of De Soi (non-alc wine + adaptogens)","Functional beverage","Non-alc wine/rose alternatives with adaptogens","~$1.9M","4","Seattle","WA","USA","2019","None reported","","","Co-packer (likely)","Unknown","Non-alc wine + adaptogens, wellness positioning. Very small team (4); early-stage.","","470852408","Yes — 2026-06-17","ALIVE (2026-03-28)"
"2026-06-17","MASA Chips","masachips.com","84","Strong","Lookalike of Mezcla (clean-label snack)","Better-for-you snacks","3-ingredient tortilla chips (grass-fed tallow, no seed oils)","~$5.5M","13","","","USA","2022","None reported","","","Co-manufacturer (likely)","Unknown","Fast-rising clean-label chip brand (2022), strong DTC + retail momentum. Approaching $10M; B2B.","","1328592839","Yes — 2026-06-17","ALIVE (2026-04-20)"
"2026-06-17","Ohza","drinkohza.com","84","Strong","Lookalike of De Soi (RTD)","Functional beverage","RTD mimosas and sangria, lower sugar","~$3.6M","25","Cambridge","MA","USA","","None reported","","","Co-packer (likely)","Unknown","RTD cocktails scaling into retail; 25 employees. Below $10M but solid team.","","1311366364","Yes — 2026-06-17","ALIVE (2026-06-02)"
"2026-06-17","Sarilla","drinksarilla.com","83","Strong","Lookalike of De Soi (sparkling tea)","Functional beverage","Organic alcohol-free sparkling tea spritzers","~$2.3M","13","","","USA","2018","None reported","","","Co-packer (likely)","Unknown","Organic functional sparkling tea, mood-based. Early-stage, under $10M.","","1311167422","Yes — 2026-06-17","ALIVE (2026-06-02)"
"2026-06-17","Misha's Kind Foods","mishaskindfoods.com","82","Strong","Lookalike of Mezcla (plant-based)","Better-for-you food","Plant-based cheese / dairy alternatives","~$5.5M","20","Los Angeles","CA","USA","2018","$3.0M","Angel/Seed (2021)","Marcy Ventures Partners","Co-manufacturer (likely)","Unknown","Plant-based cheese backed by Marcy Ventures (Jay-Z). ~$5.5M, scaling. Below floor.","Domain corrected from ZoomInfo's lovemishas.com","555727335","Yes — 2026-06-17 (corrected)","ALIVE (2026-04-06)"
"2026-06-17","TOST (Tost Beverages)","tostbeverages.com","80","Strong","Lookalike of De Soi (non-alc sparkling)","Functional beverage","Non-alc sparkling wine alternative (white tea, ginger)","~$4.6M","8","Dorset","VT","USA","2014","$1.0M","Private Equity (Aug 2025)","Undisclosed","Co-packer (likely)","Unknown","Established non-alc sparkling brand; took PE growth investment Aug 2025. Founded 2014 (less 'emerging').","","461659756","Yes — 2026-06-17","ALIVE (2026-06-02)"
"2026-06-17","Starla","starlawines.com","79","Possible","Lookalike of De Soi (non-alc wine)","Functional beverage","Sugar-free non-alc wines (alcohol-removed)","~$2.4M","16","","","USA","2021","None reported","","","Co-packer (likely)","Unknown","Non-alc wine; 16 employees. Below floor; limited firmographic depth.","","561174039","Yes — 2026-06-17","ALIVE (2026-04-20)"
"2026-06-17","Yerbae","yerbae.com","76","Possible","Lookalike of Mezcla/De Soi (functional sparkling water)","Functional beverage","Zero-cal yerba-mate functional sparkling water","~$5.7M","11","Scottsdale","AZ","USA","2017","$5.15M total","Share placement (2023)","Public (OTC)","Co-packer (likely)","Unknown","Functional sparkling water; publicly traded (SPAC 2023) so may already run more systems. ~$5.7M.","Publicly traded - verify ICP fit","450685044","Yes — 2026-06-17","ALIVE (2026-06-02)"
"2026-06-17","Tasty Brand","tastybrand.com","73","Possible","Lookalike of Mezcla (organic snacks)","Better-for-you snacks","Organic and non-GMO kids' fruit snacks, gummies, cookies","~$8.3M","13","Calabasas","CA","USA","2006","None reported","","","Co-manufacturer (likely)","Unknown","Organic kids' snacks; ~$8.3M (closest to ICP floor). Founded 2006 (mature SMB).","","346042314","Yes — 2026-06-17","ALIVE (2026-06-02)"
"2026-06-17","Vegan Dude Foods","vegandudefoods.com","71","Possible","Lookalike of Mezcla (vegan snacks)","Better-for-you snacks","All-vegan potato chips and snacks","~$5.1M","11","","","USA","","None reported","","","Co-manufacturer (likely)","Unknown","Vegan snack brand; ~$5.1M. Limited firmographic depth.","","536263171","Yes — 2026-06-17","ALIVE (2026-04-20)"
"2026-06-17","Sechey","sechey.com","70","Possible","Lookalike of De Soi (non-alc)","Functional beverage","Non-alc wine/beer/spirits + hemp (curated + own line)","~$4.2M","8","Charleston","SC","USA","2021","None reported","","","Mixed: curates third-party + own line","Unknown","Curator/marketplace + tasting salon, with own line; confirm they manufacture. ~$4.2M.","Likely retailer/marketplace, not pure brand","561449168","Yes — 2026-06-17","ALIVE (2026-05-05)"
"2026-06-17","Blue Moose","bluemoose.com","68","Possible","Lookalike of Mezcla (better-for-you food)","Better-for-you food","Refrigerated dips, hummus and spreads (cold-pressure)","~$6.8M","31","Lafayette","CO","USA","1998","None reported","","","Likely in-house (refrigerated/HPP) - verify","Unknown","Refrigerated dips/spreads, ~$6.8M, 31 emp; cold chain may mean in-house - verify outsourcing.","Possible in-house mfg/cold chain","11848074","Yes — 2026-06-17","ALIVE (2026-06-02)"
